ticker,Date,Free Cash Flow,Beginning Cash Position,End Cash Position,Total Revenue,Gross Profit,Net Income,Diluted EPS,Research And Development,EBITDA,Tax Provision,Total Debt,Working Capital,Gross Margin,Net Margin,FCF Margin,Debt to Equity,Working Capital Ratio,R&D to Revenue,Revenue growth,Net Income Growth,EPS Growth,FCF Growth
MSFT,2024-06-30,74071000000.0,34704000000.0,18315000000.0,245122000000.0,171008000000.0,88136000000.0,11.8,29510000000.0,133009000000.0,19651000000.0,67127000000.0,34448000000.0,0.6976444382797138,0.35955972944084985,0.3021801388696241,0.6608614324390845,0.14053410138624847,0.12038903076835208,0.1566996201307127,0.21800417351888446,0.21900826446280997,0.24541403951240026
MSFT,2025-06-30,71611000000.0,18315000000.0,30242000000.0,281724000000.0,193893000000.0,101832000000.0,13.64,32488000000.0,160165000000.0,21795000000.0,60588000000.0,49913000000.0,0.6882374238616519,0.3614601524896707,0.2541884965427156,0.5483027302920336,0.17716985418352715,0.11531853871164686,0.14932156232406713,0.15539620586366532,0.1559322033898305,-0.03321137827219833
NVDA,2023-01-31,3808000000.0,1990000000.0,3389000000.0,26974000000.0,15356000000.0,4368000000.0,0.174,7339000000.0,5986000000.0,-187000000.0,12031000000.0,16510000000.0,0.5692889449099132,0.16193371394676356,0.14117298138948617,0.4215339336393259,0.6120708830725884,0.2720768147104619,,,,
NVDA,2024-01-31,27021000000.0,3389000000.0,7280000000.0,60922000000.0,44301000000.0,29760000000.0,1.19,8675000000.0,35583000000.0,4058000000.0,11056000000.0,33714000000.0,0.7271757329043695,0.4884934834706674,0.4435343554052723,0.24695108331471968,0.5533961458914678,0.14239519385443683,1.2585452658115224,5.813186813186813,5.839080459770115,6.0958508403361344
NVDA,2025-01-31,60853000000.0,7280000000.0,8589000000.0,130497000000.0,97858000000.0,72880000000.0,2.94,12914000000.0,86137000000.0,11146000000.0,9982000000.0,62079000000.0,0.7498869705816992,0.5584802715771244,0.46631723334636044,0.13852153037010312,0.4757120853352951,0.0989601293516326,1.1420340763599355,1.4489247311827955,1.4705882352941178,1.2520632100958515
NVDA,2026-01-31,96676000000.0,8589000000.0,10605000000.0,215938000000.0,153463000000.0,120067000000.0,4.9,18497000000.0,144552000000.0,21383000000.0,11040000000.0,93442000000.0,0.7106808435754708,0.5560253406070261,0.44770258129648327,0.10566413353496296,0.432726060258037,0.08565884652076058,0.6547353579009478,0.6474615806805708,0.6666666666666667,0.5886809195931177
PLTR,2022-12-31,183710000.0,2366914000.0,2627335000.0,1905871000.0,1497322000.0,-373705000.0,-0.180263,359679000.0,-138679000.0,10067000.0,249404000.0,2453636000.0,0.7856365934525474,-0.19608095196369535,0.0963916235673873,0.09226796495797325,1.2874092737651184,0.1887215871378493,,,,
PLTR,2023-12-31,697069000.0,2627335000.0,850107000.0,2225012000.0,1793907000.0,209825000.0,0.090131,404624000.0,153320000.0,19716000.0,229392000.0,3392600000.0,0.8062459887856784,0.09430286218681068,0.3132877485604572,0.06333310509796819,1.5247558215416366,0.18185250236852654,0.1674515221649313,-1.5614722842884095,-1.4999972262749428,2.794398780686952
PLTR,2024-12-31,1141231000.0,850107000.0,2119936000.0,2865507000.0,2299517000.0,462190000.0,0.190277,507878000.0,341990000.0,21255000.0,239219000.0,4938271000.0,0.8024817248745161,0.16129431894600152,0.3982649492742471,0.04620366239239477,1.7233498295415086,0.1772384433191055,0.2878613688375613,1.2027403788871678,1.1111160422052344,0.6371851280145868
PLTR,2025-12-31,2100591000.0,2119936000.0,1451425000.0,4475446000.0,3686269000.0,1625033000.0,0.63,557677000.0,1440160000.0,22724000.0,229338000.0,7182593000.0,0.8236651721415028,0.3630996776634105,0.4693590314797676,0.030941734346960327,1.604888764158924,0.12460813961334803,0.5618339093221549,2.5159414959215907,2.3109624389705536,0.840636120119415
